,donor_id,churn_date
4878,-9074844957313376132,2020-3-12
4896,-9071936753544226336,2018-11-18
4907,-9071936753544226336,2020-1-12
5064,-9069495776478957810,2020-1-30
5172,-9068088519301034015,2018-2-17
5173,-9068043201771317227,2001-3-14
5185,-9066155824672159090,2018-2-22
5210,-9064685571578700375,2005-6-13
5219,-9064685571578700375,2006-6-13
5221,-9064685571578700375,2006-11-13
5222,-9064685571578700375,2007-3-14
5224,-9064685571578700375,2007-8-14
5228,-9064685571578700375,2008-3-14
5229,-9064685571578700375,2008-7-14
5235,-9064685571578700375,2009-4-14
5332,-9064685571578700375,2017-10-14
5339,-9064685571578700375,2018-8-14
5368,-9064360135583689795,2008-9-9
5432,-9064230201966878524,2019-5-20
5433,-9063648925211291066,2007-5-5
5442,-9063345039268540092,2020-2-14
5450,-9062085981194770934,2008-10-18
5469,-9062085981194770934,2010-8-18
5474,-9061690212414876969,2017-1-29
5475,-9061289236624884832,2015-2-17
5539,-9060209970229058982,2019-4-18
5580,-9058057542289591490,2015-3-5
5613,-9057208780249208387,2016-4-13
5617,-9056409759822247651,2016-10-10
5841,-9055103216019686339,2020-3-12
5848,-9052572606557617350,2019-3-26
5943,-9051179137147732323,2014-12-5
5999,-9051179137147732323,2020-2-4
6001,-9048785568536461270,2014-2-13
6002,-9048785568536461270,2014-9-14
6037,-9048221069933435487,2020-3-4
6083,-9047996956267624190,2004-6-16
6121,-9046549982595643932,2003-9-15
6143,-9044851269732324466,2004-9-9
6169,-9043354562009229686,2020-3-2
6177,-9042372384162343937,2008-2-1
6178,-9041596449089555902,2017-10-30
6184,-9041596449089555902,2018-5-19
6191,-9041596449089555902,2019-11-12
6326,-9041467192628593938,2020-2-25
6460,-9041085099362039471,2020-2-18
6474,-9039996871399775351,2011-7-1
6476,-9038774033044987631,2006-10-25
6480,-9038288354452643835,2010-11-15
6505,-9038200760550885235,2020-2-26
6628,-9037039124623003543,2010-11-12
6630,-9036798076871004285,2011-9-22
6656,-9036142491857850351,2002-10-16
6662,-9034034475913819386,2007-2-26
6669,-9033460904108393090,2020-2-15
6678,-9033419144574314190,2016-2-2
6721,-9033419144574314190,2020-3-1
6728,-9032998454928996288,2011-12-18
6780,-9032936180445832154,2018-8-13
6795,-9032936180445832154,2020-1-5
6800,-9032878906596828737,2009-6-6
6818,-9031711509686701246,2001-11-9
6828,-9030701671902765784,2020-2-20
6830,-9029923340876088450,2020-2-28
6983,-9029521530606971024,2015-4-19
7047,-9028929101125401861,2020-3-22
7050,-9027184564511138283,2016-3-28
7131,-9025365395570704837,2016-8-2
7151,-9025365395570704837,2018-8-7
7157,-9025365395570704837,2019-9-3
7161,-9023231183975067600,2011-11-5
7184,-9022555577599192996,2020-3-9
7186,-9021798491626501831,2014-3-27
7263,-9021180917786352189,2013-5-20
7276,-9021180917786352189,2015-1-20
7278,-9021180917786352189,2015-8-8
7313,-9021180917786352189,2018-10-8
7324,-9021180917786352189,2020-2-2
7328,-9020130946606778861,2011-4-29
7330,-9020130946606778861,2011-11-30
7332,-9020130946606778861,2012-5-30
7333,-9020130946606778861,2012-9-29
7335,-9019901876079757173,2002-4-18
7349,-9019851406425150931,2020-2-28
7482,-9018398446564795645,2020-2-25
7530,-9017810968917388497,2014-9-11
7553,-9017699171052691484,2020-2-12
7651,-9017296660297536630,2008-11-15
7682,-9014874758721679194,2018-7-19
7694,-9014874758721679194,2020-1-15
7695,-9014347568194074786,2001-1-9
7696,-9014347568194074786,2002-1-9
7697,-9014347568194074786,2003-1-9
7699,-9013771095469190785,2009-10-30
7702,-9013694325714495970,2013-5-6
7703,-9012018855960214702,2020-2-20
7725,-9011482912728844489,2018-8-24
7762,-9011415815199504728,2004-5-16
7763,-9011319322091326539,2011-10-9
7765,-9011319322091326539,2013-10-9
7766,-9011319322091326539,2014-10-9
7772,-9010626812180129140,2009-8-22
7788,-9010091246171170678,2012-12-25
7862,-9009419490126296692,2011-4-10
